"V1","V2","V3","V4","V5","V6","V7"
-2.3,0.564,5.1,3.95,3.53,0.2,-0.0725706928348354
-2.3,0.564,5.1,3.95,3.53,0.225,0.314810739840034
-2.3,0.564,5.1,3.95,3.53,0.25,0.678033542749897
-2.3,0.564,5.1,3.95,3.53,0.275,1.04027671165515
-2.3,0.564,5.1,3.95,3.53,0.3,1.38379123090177
-2.3,0.564,5.1,3.95,3.53,0.325,1.6467336971778
-2.3,0.564,5.1,3.95,3.53,0.35,2.08318452795867
-2.3,0.564,5.1,3.95,3.53,0.375,2.55412171880947
-2.3,0.564,5.1,3.95,3.53,0.4,3.06851794327964
-2.3,0.564,5.1,3.95,3.53,0.425,3.52547778217249
-2.3,0.564,5.1,3.95,3.53,0.45,3.91919720917615
-2.4,0.574,4.36,3.96,2.76,0.125,-1.6094379124341
-2.4,0.574,4.36,3.96,2.76,0.15,-1.04982212449868
-2.4,0.574,4.36,3.96,2.76,0.175,-0.430782916092454
-2.4,0.574,4.36,3.96,2.76,0.2,-0.0725706928348354
-2.4,0.574,4.36,3.96,2.76,0.225,0.314810739840034
-2.4,0.574,4.36,3.96,2.76,0.25,0.678033542749897
-2.4,0.574,4.36,3.96,2.76,0.275,1.04027671165515
-2.4,0.574,4.36,3.96,2.76,0.3,1.38379123090177
-2.4,0.574,4.36,3.96,2.76,0.325,1.6467336971778
-2.4,0.574,4.36,3.96,2.76,0.35,2.08318452795867
-2.4,0.574,4.36,3.96,2.76,0.375,2.55412171880947
-2.4,0.574,4.36,3.96,2.76,0.4,3.06851794327964
-2.4,0.574,4.36,3.96,2.76,0.425,3.52547778217249
-2.4,0.574,4.36,3.96,2.76,0.45,3.91919720917615
-2.4,0.568,4.34,2.98,3.15,0.125,-2.12026353620009
-2.4,0.568,4.34,2.98,3.15,0.15,-1.34707364796661
-2.4,0.568,4.34,2.98,3.15,0.175,-0.843970070294529
-2.4,0.568,4.34,2.98,3.15,0.2,-0.371063681390832
-2.4,0.568,4.34,2.98,3.15,0.225,0.0861776962410524
-2.4,0.568,4.34,2.98,3.15,0.25,0.512823626428664
-2.4,0.568,4.34,2.98,3.15,0.275,0.900161349944271
-2.4,0.568,4.34,2.98,3.15,0.3,1.23256026117785
-2.4,0.568,4.34,2.98,3.15,0.325,1.53039470509365
-2.4,0.568,4.34,2.98,3.15,0.35,1.92570744173779
-2.4,0.568,4.34,2.98,3.15,0.375,2.44755086324423
-2.4,0.568,4.34,2.98,3.15,0.4,3.02674632708316
-2.4,0.568,4.34,2.98,3.15,0.425,3.54095932403731
-2.4,0.568,4.34,2.98,3.15,0.45,3.99323426085297
-2.3,0.562,5.14,4.95,3.17,0.125,-1.27296567581289
-2.3,0.562,5.14,4.95,3.17,0.15,-0.82098055206983
-2.3,0.562,5.14,4.95,3.17,0.175,-0.356674943938732
-2.3,0.562,5.14,4.95,3.17,0.2,0.0676586484738149
-2.3,0.562,5.14,4.95,3.17,0.225,0.451075619360217
-2.3,0.562,5.14,4.95,3.17,0.25,0.802001585472027
-2.3,0.562,5.14,4.95,3.17,0.275,1.12817109090965
-2.3,0.562,5.14,4.95,3.17,0.3,1.40854497005471
-2.3,0.562,5.14,4.95,3.17,0.325,1.76130026174335
-2.3,0.562,5.14,4.95,3.17,0.35,2.11384296839717
-2.3,0.562,5.14,4.95,3.17,0.375,2.54944517092557
-2.3,0.562,5.14,4.95,3.17,0.4,3.01602497682175
-2.3,0.562,5.14,4.95,3.17,0.425,3.47630485414896
-2.3,0.562,5.14,4.95,3.17,0.45,3.85629885665578
-2.4,0.585,4.78,3.84,3.32,0.125,-1.6094379124341
-2.4,0.585,4.78,3.84,3.32,0.15,-0.967584026261706
-2.4,0.585,4.78,3.84,3.32,0.175,-0.446287102628419
-2.4,0.585,4.78,3.84,3.32,0.2,-0.0304592074847086
-2.4,0.585,4.78,3.84,3.32,0.225,0.307484699747961
-2.4,0.585,4.78,3.84,3.32,0.25,0.683096844706444
-2.4,0.585,4.78,3.84,3.32,0.275,1.0681530811834
-2.4,0.585,4.78,3.84,3.32,0.3,1.47017584510059
-2.4,0.585,4.78,3.84,3.32,0.325,1.7561322915849
-2.4,0.585,4.78,3.84,3.32,0.35,2.08442908319087
-2.4,0.585,4.78,3.84,3.32,0.375,2.49732916978656
-2.4,0.585,4.78,3.84,3.32,0.4,2.95386806945529
-2.4,0.585,4.78,3.84,3.32,0.425,3.40419289064195
-2.4,0.585,4.78,3.84,3.32,0.45,3.79278891750445
-2.2,0.546,4.78,4.13,3.07,0.125,-1.89711998488588
-2.2,0.546,4.78,4.13,3.07,0.15,-1.13943428318836
-2.2,0.546,4.78,4.13,3.07,0.175,-0.59783700075562
-2.2,0.546,4.78,4.13,3.07,0.2,-0.150822889734584
-2.2,0.546,4.78,4.13,3.07,0.225,0.215111379616945
-2.2,0.546,4.78,4.13,3.07,0.25,0.56531380905006
-2.2,0.546,4.78,4.13,3.07,0.275,0.912282710476616
-2.2,0.546,4.78,4.13,3.07,0.3,1.23837423104327
-2.2,0.546,4.78,4.13,3.07,0.325,1.57484646766448
-2.2,0.546,4.78,4.13,3.07,0.35,1.99741770620125
-2.2,0.546,4.78,4.13,3.07,0.375,2.54631527791664
-2.2,0.546,4.78,4.13,3.07,0.4,3.09058780456667
-2.2,0.546,4.78,4.13,3.07,0.425,3.57346860260261
-2.2,0.546,4.78,4.13,3.07,0.45,3.9716117968398
0,0.565,4.77,3.99,3.15,0.125,-2.20727491318972
0,0.565,4.77,3.99,3.15,0.15,-1.42711635564015
0,0.565,4.77,3.99,3.15,0.175,-0.713349887877465
0,0.565,4.77,3.99,3.15,0.2,-0.23572233352107
0,0.565,4.77,3.99,3.15,0.225,0.246860077931526
0,0.565,4.77,3.99,3.15,0.25,0.672944473242426
0,0.565,4.77,3.99,3.15,0.275,1.05779029414785
0,0.565,4.77,3.99,3.15,0.3,1.42069578783722
0,0.565,4.77,3.99,3.15,0.325,1.78507048107726
0,0.565,4.77,3.99,3.15,0.35,2.20497226412705
0,0.565,4.77,3.99,3.15,0.375,2.7033726115511
0,0.565,4.77,3.99,3.15,0.4,3.18345587963694
0,0.565,4.77,3.99,3.15,0.425,3.640739078786
0,0.565,4.77,3.99,3.15,0.45,4.01530135488165
-5,0.565,4.77,3.99,3.15,0.125,-2.65926003693278
-5,0.565,4.77,3.99,3.15,0.15,-1.71479842809193
-5,0.565,4.77,3.99,3.15,0.175,-0.916290731874155
-5,0.565,4.77,3.99,3.15,0.2,-0.356674943938732
-5,0.565,4.77,3.99,3.15,0.225,0.131028262406404
-5,0.565,4.77,3.99,3.15,0.25,0.60431596685333
-5,0.565,4.77,3.99,3.15,0.275,1.01884732019925
-5,0.565,4.77,3.99,3.15,0.3,1.41585316336144
-5,0.565,4.77,3.99,3.15,0.325,1.68824909285839
-5,0.565,4.77,3.99,3.15,0.35,2.06305806242931
-5,0.565,4.77,3.99,3.15,0.375,2.54238908520136
-5,0.565,4.77,3.99,3.15,0.4,3.04547436544881
-5,0.565,4.77,3.99,3.15,0.425,3.54327548025514
-5,0.565,4.77,3.99,3.15,0.45,3.94681083091381
0,0.565,5.1,3.94,3.51,0.125,-2.52572864430826
0,0.565,5.1,3.94,3.51,0.15,-1.34707364796661
0,0.565,5.1,3.94,3.51,0.175,-0.693147180559945
0,0.565,5.1,3.94,3.51,0.2,-0.186329578191493
0,0.565,5.1,3.94,3.51,0.225,0.246860077931526
0,0.565,5.1,3.94,3.51,0.25,0.641853886172395
0,0.565,5.1,3.94,3.51,0.275,0.985816794522765
0,0.565,5.1,3.94,3.51,0.3,1.3244189574018
0,0.565,5.1,3.94,3.51,0.325,1.71739505393919
0,0.565,5.1,3.94,3.51,0.35,2.1701959049483
0,0.565,5.1,3.94,3.51,0.375,2.65605490598383
0,0.565,5.1,3.94,3.51,0.4,3.13766576944266
0,0.565,5.1,3.94,3.51,0.425,3.56840530064606
0,0.565,5.1,3.94,3.51,0.45,3.95105139239562
-5,0.565,5.1,3.94,3.51,0.125,-2.52572864430826
-5,0.565,5.1,3.94,3.51,0.15,-1.42711635564015
-5,0.565,5.1,3.94,3.51,0.175,-0.798507696217772
-5,0.565,5.1,3.94,3.51,0.2,-0.261364764134408
-5,0.565,5.1,3.94,3.51,0.225,0.173953307123438
-5,0.565,5.1,3.94,3.51,0.25,0.56531380905006
-5,0.565,5.1,3.94,3.51,0.275,0.951657875711446
-5,0.565,5.1,3.94,3.51,0.3,1.34807314829969
-5,0.565,5.1,3.94,3.51,0.325,1.66203036255327
-5,0.565,5.1,3.94,3.51,0.35,2.04640168760164
-5,0.565,5.1,3.94,3.51,0.375,2.51769647261099
-5,0.565,5.1,3.94,3.51,0.4,3.04022751344054
-5,0.565,5.1,3.94,3.51,0.425,3.5034530823665
-5,0.565,5.1,3.94,3.51,0.45,3.89467336709303
-2.3,0.53,5.11,3.69,3.51,0.125,-2.52572864430826
-2.3,0.53,5.11,3.69,3.51,0.15,-1.38629436111989
-2.3,0.53,5.11,3.69,3.51,0.175,-0.776528789498996
-2.3,0.53,5.11,3.69,3.51,0.2,-0.287682072451781
-2.3,0.53,5.11,3.69,3.51,0.225,0.104360015324243
-2.3,0.53,5.11,3.69,3.51,0.25,0.451075619360217
-2.3,0.53,5.11,3.69,3.51,0.275,0.774727167552368
-2.3,0.53,5.11,3.69,3.51,0.3,1.09192330051731
-2.3,0.53,5.11,3.69,3.51,0.325,1.48613969608961
-2.3,0.53,5.11,3.69,3.51,0.35,2.05923883436232
-2.3,0.53,5.11,3.69,3.51,0.375,2.64688376586472
-2.3,0.53,5.11,3.69,3.51,0.4,3.18387021566939
-2.3,0.53,5.11,3.69,3.51,0.425,3.63626950384164
-2.3,0.53,5.11,3.69,3.51,0.45,4.01041932728434
-2.3,0.53,4.76,3.68,3.16,0.125,-2.30258509299405
-2.3,0.53,4.76,3.68,3.16,0.15,-1.46967597005894
-2.3,0.53,4.76,3.68,3.16,0.175,-0.755022584278033
-2.3,0.53,4.76,3.68,3.16,0.2,-0.27443684570176
-2.3,0.53,4.76,3.68,3.16,0.225,0.139761942375159
-2.3,0.53,4.76,3.68,3.16,0.25,0.500775287912489
-2.3,0.53,4.76,3.68,3.16,0.275,0.824175442966349
-2.3,0.53,4.76,3.68,3.16,0.3,1.12817109090965
-2.3,0.53,4.76,3.68,3.16,0.325,1.48387468945875
-2.3,0.53,4.76,3.68,3.16,0.35,2.01623546577604
-2.3,0.53,4.76,3.68,3.16,0.375,2.62249231274056
-2.3,0.53,4.76,3.68,3.16,0.4,3.17638577324725
-2.3,0.53,4.76,3.68,3.16,0.425,3.62113580202742
-2.3,0.53,4.76,3.68,3.16,0.45,4.03353242282534
-2.3,0.53,4.34,2.81,3.15,0.125,-2.99573227355399
-2.3,0.53,4.34,2.81,3.15,0.15,-1.77195684193188
-2.3,0.53,4.34,2.81,3.15,0.175,-1.04982212449868
-2.3,0.53,4.34,2.81,3.15,0.2,-0.462035459596559
-2.3,0.53,4.34,2.81,3.15,0.225,0.00995033085316809
-2.3,0.53,4.34,2.81,3.15,0.25,0.357674444271816
-2.3,0.53,4.34,2.81,3.15,0.275,0.717839793150317
-2.3,0.53,4.34,2.81,3.15,0.3,1.00430160919687
-2.3,0.53,4.34,2.81,3.15,0.325,1.35325450704169
-2.3,0.53,4.34,2.81,3.15,0.35,1.97269117173296
-2.3,0.53,4.34,2.81,3.15,0.375,2.63619609733423
-2.3,0.53,4.34,2.81,3.15,0.4,3.2260500286162
-2.3,0.53,4.34,2.81,3.15,0.425,3.72183055425362
-2.3,0.53,4.34,2.81,3.15,0.45,4.13388573684263
0,0.6,4.78,4.24,3.15,0.125,-3.50655789731998
0,0.6,4.78,4.24,3.15,0.15,-1.71479842809193
0,0.6,4.78,4.24,3.15,0.175,-0.916290731874155
0,0.6,4.78,4.24,3.15,0.2,-0.3147107448397
0,0.6,4.78,4.24,3.15,0.225,0.262364264467491
0,0.6,4.78,4.24,3.15,0.25,0.770108221696074
0,0.6,4.78,4.24,3.15,0.275,1.20896034583698
0,0.6,4.78,4.24,3.15,0.3,1.62136648329937
0,0.6,4.78,4.24,3.15,0.325,1.96571277635149
0,0.6,4.78,4.24,3.15,0.35,2.33795223683134
0,0.6,4.78,4.24,3.15,0.375,2.72457950305342
0,0.6,4.78,4.24,3.15,0.4,3.14199478053224
0,0.6,4.78,4.24,3.15,0.425,3.54443154974806
0,0.6,4.78,4.24,3.15,0.45,3.94158180766969
-5,0.6,4.78,4.24,3.15,0.125,-2.81341071676004
-5,0.6,4.78,4.24,3.15,0.15,-1.89711998488588
-5,0.6,4.78,4.24,3.15,0.175,-1.07880966137193
-5,0.6,4.78,4.24,3.15,0.2,-0.462035459596559
-5,0.6,4.78,4.24,3.15,0.225,0.122217632724249
-5,0.6,4.78,4.24,3.15,0.25,0.615185639090233
-5,0.6,4.78,4.24,3.15,0.275,1.04380405217311
-5,0.6,4.78,4.24,3.15,0.3,1.46787434811231
-5,0.6,4.78,4.24,3.15,0.325,1.82454929205105
-5,0.6,4.78,4.24,3.15,0.35,2.1540850846756
-5,0.6,4.78,4.24,3.15,0.375,2.52492832413749
-5,0.6,4.78,4.24,3.15,0.4,3.01602497682175
-5,0.6,4.78,4.24,3.15,0.425,3.48000856208645
-5,0.6,4.78,4.24,3.15,0.45,3.93064846955131
0,0.53,4.78,3.75,3.15,0.125,-1.83258146374831
0,0.53,4.78,3.75,3.15,0.15,-1.13943428318836
0,0.53,4.78,3.75,3.15,0.175,-0.527632742082372
0,0.53,4.78,3.75,3.15,0.2,-0.083381608939051
0,0.53,4.78,3.75,3.15,0.225,0.314810739840034
0,0.53,4.78,3.75,3.15,0.25,0.662687973075237
0,0.53,4.78,3.75,3.15,0.275,0.963174317773006
0,0.53,4.78,3.75,3.15,0.3,1.30833281965018
0,0.53,4.78,3.75,3.15,0.325,1.69561560867515
0,0.53,4.78,3.75,3.15,0.35,2.24601474150565
0,0.53,4.78,3.75,3.15,0.375,2.79177841663292
0,0.53,4.78,3.75,3.15,0.4,3.3083508312958
0,0.53,4.78,3.75,3.15,0.425,3.73217837850908
0,0.53,4.78,3.75,3.15,0.45,4.10841181943354
-5,0.53,4.78,3.75,3.15,0.125,-2.40794560865187
-5,0.53,4.78,3.75,3.15,0.15,-1.42711635564015
-5,0.53,4.78,3.75,3.15,0.175,-0.755022584278033
-5,0.53,4.78,3.75,3.15,0.2,-0.2484613592985
-5,0.53,4.78,3.75,3.15,0.225,0.19062035960865
-5,0.53,4.78,3.75,3.15,0.25,0.615185639090233
-5,0.53,4.78,3.75,3.15,0.275,0.963174317773006
-5,0.53,4.78,3.75,3.15,0.3,1.30562645805244
-5,0.53,4.78,3.75,3.15,0.325,1.62334081760309
-5,0.53,4.78,3.75,3.15,0.35,2.07317192866624
-5,0.53,4.78,3.75,3.15,0.375,2.61958321977988
-5,0.53,4.78,3.75,3.15,0.4,3.15912582046243
-5,0.53,4.78,3.75,3.15,0.425,3.61469455592456
-5,0.53,4.78,3.75,3.15,0.45,4.02302756347106
-2.3,0.6,5.1,4.17,3.51,0.125,-4.60517018598809
-2.3,0.6,5.1,4.17,3.51,0.15,-1.83258146374831
-2.3,0.6,5.1,4.17,3.51,0.175,-0.941608539858445
-2.3,0.6,5.1,4.17,3.51,0.2,-0.3147107448397
-2.3,0.6,5.1,4.17,3.51,0.225,0.215111379616945
-2.3,0.6,5.1,4.17,3.51,0.25,0.672944473242426
-2.3,0.6,5.1,4.17,3.51,0.275,1.11185751541813
-2.3,0.6,5.1,4.17,3.51,0.3,1.49514876603197
-2.3,0.6,5.1,4.17,3.51,0.325,1.84213567655312
-2.3,0.6,5.1,4.17,3.51,0.35,2.16102152867226
-2.3,0.6,5.1,4.17,3.51,0.375,2.51688969564105
-2.3,0.6,5.1,4.17,3.51,0.4,3.00270788729042
-2.3,0.6,5.1,4.17,3.51,0.425,3.45852244828142
-2.3,0.6,5.1,4.17,3.51,0.45,3.85290974093564
-2.3,0.6,4.34,4.23,2.73,0.125,-3.2188758248682
-2.3,0.6,4.34,4.23,2.73,0.15,-1.77195684193188
-2.3,0.6,4.34,4.23,2.73,0.175,-1.02165124753198
-2.3,0.6,4.34,4.23,2.73,0.2,-0.446287102628419
-2.3,0.6,4.34,4.23,2.73,0.225,0.0198026272961797
-2.3,0.6,4.34,4.23,2.73,0.25,0.482426149244293
-2.3,0.6,4.34,4.23,2.73,0.275,0.966983846189673
-2.3,0.6,4.34,4.23,2.73,0.3,1.42310833424261
-2.3,0.6,4.34,4.23,2.73,0.325,1.79175946922805
-2.3,0.6,4.34,4.23,2.73,0.35,2.13653050866396
-2.3,0.6,4.34,4.23,2.73,0.375,2.50715725872282
-2.3,0.6,4.34,4.23,2.73,0.4,2.97501923195645
-2.3,0.6,4.34,4.23,2.73,0.425,3.41707073081845
-2.3,0.6,4.34,4.23,2.73,0.45,3.84288726659328
